TotalAmount,BikePurchase,CustomerID,PersonType,BirthDate,Age,MaritalStatus,Gender,TotalChildren,HomeOwnerFlag,NumberCarsOwned,CountryRegionCode_Num,YearlyIncome_Num,Education_Num,Occupation_Num
5997.33,1,27671,IN,1953,67,S,M,3,0,2,5,2,3,4
4761.74,1,16514,IN,1980,40,S,M,0,1,1,0,0,2,0
5915.54,1,16616,IN,1974,46,S,M,0,0,2,0,3,4,3
5895.24,1,11591,IN,1963,57,S,F,3,1,0,3,1,2,2
5875.55,1,11592,IN,1978,42,S,M,0,0,1,3,0,1,0
7259.56,1,13265,IN,1956,64,S,M,3,1,4,2,4,1,3
4783.74,1,16482,IN,1950,70,M,F,3,0,2,0,1,2,2
5984.27,1,27623,IN,1956,64,S,M,3,0,1,5,3,2,3
5971.33,1,27625,IN,1956,64,S,F,2,0,0,5,3,2,3
6011.31,1,27636,IN,1962,58,M,F,1,1,3,5,3,2,3
6434.31,1,11017,IN,1944,76,S,F,4,1,2,0,0,1,1
3078.0582,1,19941,IN,1949,71,S,M,3,0,4,4,4,1,4
5976.32,1,27617,IN,1964,56,S,F,0,0,1,5,3,2,3
5976.32,1,27670,IN,1953,67,S,F,3,0,2,5,2,3,4
8941.28,1,13257,IN,1957,63,M,M,2,1,2,2,4,2,3
5948.49,1,16352,IN,1954,66,S,F,2,1,2,0,3,2,1
4197.25,1,16493,IN,1953,67,M,F,3,1,2,0,1,2,1
5997.33,1,27646,IN,1961,59,S,M,1,0,2,5,4,4,4
8088.04,1,11010,IN,1964,56,S,F,0,0,1,0,2,4,3
4752.75,1,16525,IN,1978,42,M,F,0,0,0,0,0,4,2
5898.26,1,16612,IN,1975,45,S,F,0,0,2,0,3,4,3
3578.27,1,27578,IN,1958,62,M,F,1,1,1,5,2,4,3
6383.88,1,11001,IN,1965,55,S,M,3,0,1,0,2,4,3
4698.76,1,16518,IN,1976,44,S,F,1,0,0,0,0,1,0
6591.57,1,11027,IN,1946,74,M,M,2,1,2,0,1,2,2
1547.5682,1,14559,IN,1970,50,M,F,1,1,0,5,1,4,1
5918.24,1,16348,IN,1954,66,M,M,2,1,2,0,3,2,1
4733.75,1,16524,IN,1979,41,M,M,0,1,0,0,0,4,2
4758.24,1,16526,IN,1978,42,S,M,0,1,0,0,0,4,2
4143.74,1,21659,IN,1963,57,M,F,3,1,0,1,2,3,3
3578.27,1,27614,IN,1956,64,M,M,2,0,2,5,2,1,3
3578.27,1,27649,IN,1955,65,M,M,2,0,2,5,2,1,3
6533.28,1,11018,IN,1944,76,S,M,2,1,2,0,1,2,2
7239.56,1,13260,IN,1957,63,M,M,3,1,2,2,4,2,3
4733.75,1,16515,IN,1980,40,M,M,0,0,1,0,0,2,0
1893.0482,1,25252,IN,1956,64,S,M,1,0,1,0,3,2,1
5957.22,1,11599,IN,1977,43,S,F,0,0,1,3,0,1,0
6002.23,1,16495,IN,1954,66,S,F,2,0,2,0,3,2,1
4733.75,1,16516,IN,1980,40,M,M,0,1,0,0,0,4,2
5895.24,1,16620,IN,1973,47,M,M,0,1,3,0,3,4,3
8248.99,1,11000,IN,1966,54,M,M,2,1,0,0,3,4,3
6565.29,1,11029,IN,1946,74,M,M,2,1,2,0,1,2,2
7511.55,1,11239,IN,1958,62,M,F,2,0,2,4,4,2,3
5932.22,1,11601,IN,1977,43,S,M,0,1,1,3,1,2,2
5913.24,1,11607,IN,1975,45,S,M,0,1,1,3,0,1,0
4175.53,1,16484,IN,1950,70,M,M,2,0,2,0,1,2,2
5973.24,1,16623,IN,1973,47,S,M,5,1,4,0,4,4,3
3399.99,1,25857,IN,1944,76,S,F,5,0,2,5,1,0,2
4643.83,1,25865,IN,1946,74,M,M,5,1,3,5,1,1,3
5997.33,1,27667,IN,1954,66,M,F,3,0,1,5,2,1,3
3399.99,1,29385,IN,1963,57,S,M,4,0,1,2,0,1,0
4173.24,1,16345,IN,1953,67,M,M,3,1,2,0,1,2,1
4698.76,1,16521,IN,1979,41,S,F,1,0,0,0,0,1,0
5932.74,1,16636,IN,1970,50,M,M,0,1,4,0,4,1,4
2431.3582,1,17956,IN,1970,50,S,M,0,1,0,3,1,4,2
5998.61,1,27615,IN,1965,55,M,F,3,1,4,5,4,4,4
5908.25,1,11593,IN,1977,43,S,M,0,1,1,3,0,1,0
8375.29,1,13583,IN,1954,66,S,M,3,1,2,4,3,1,3
4187.23,1,21710,IN,1958,62,M,F,2,1,1,1,1,2,2
8368.29,1,13585,IN,1953,67,M,F,4,0,1,4,3,2,3
3036.3682,1,14510,IN,1968,52,S,M,2,1,2,5,3,4,4
4698.76,1,16523,IN,1979,41,M,F,0,1,0,0,0,4,2
4127.25,1,21741,IN,1956,64,M,F,3,1,2,1,2,2,3
8196.01,1,11004,IN,1968,52,S,F,5,1,4,0,3,4,3
6575.79,1,11026,IN,1946,74,S,M,2,0,2,0,1,2,2
5873.26,1,11611,IN,1974,46,M,M,0,0,1,3,0,0,0
7853.49,1,13259,IN,1957,63,M,M,2,0,2,2,4,2,3
5903.19,1,16350,IN,1954,66,S,M,2,1,2,0,3,2,1
8119.03,1,11006,IN,1965,55,S,F,0,1,1,0,2,4,3
5961.2,1,16494,IN,1954,66,S,F,2,0,2,0,3,2,1
5960.23,1,16496,IN,1954,66,S,F,2,1,2,0,3,2,1
4752.75,1,16519,IN,1976,44,S,F,1,0,0,0,0,1,0
4698.76,1,16528,IN,1978,42,S,F,0,1,0,0,0,4,2
4603.82,1,25866,IN,1946,74,M,M,5,1,4,5,1,1,3
5997.33,1,27662,IN,1960,60,S,F,5,1,4,5,4,2,3
3374.99,1,28390,IN,1964,56,S,M,3,0,1,3,0,1,0
8106.31,1,11008,IN,1964,56,S,F,4,1,3,0,2,4,3
1528.0682,1,14558,IN,1970,50,M,F,1,1,0,5,1,4,1
5898.26,1,16349,IN,1954,66,S,M,2,0,2,0,3,2,1
3034.0682,1,19942,IN,1949,71,S,M,5,0,4,4,4,2,4
1883.5582,1,25250,IN,1957,63,S,M,1,0,1,0,2,2,1
6021.82,1,27651,IN,1955,65,M,M,2,1,1,5,3,1,3
6047.32,1,27663,IN,1960,60,S,M,1,0,2,5,4,3,4
5997.33,1,27669,IN,1953,67,M,F,3,1,2,5,2,3,4
6474.62,1,11028,IN,1946,74,M,F,2,1,2,0,1,2,2
8361.29,1,13584,IN,1953,67,S,M,4,1,1,4,2,1,3
5918.5,1,16347,IN,1953,67,M,M,2,1,2,0,2,3,4
3578.27,1,27605,IN,1957,63,M,M,2,1,2,5,2,1,3
3578.27,1,27611,IN,1956,64,M,M,2,1,2,5,2,1,3
8091.33,1,11009,IN,1964,56,S,M,0,0,1,0,2,4,3
3374.99,1,19802,IN,1974,46,S,F,0,0,2,1,1,1,3
4132.24,1,21727,IN,1973,47,M,F,0,1,0,1,1,3,1
699.0982,1,26620,IN,1967,53,S,F,0,0,1,1,1,2,1
4539.46,1,28393,IN,1966,54,S,M,0,1,0,3,1,4,3
7300.55,1,13406,IN,1957,63,M,M,2,1,2,2,4,2,3
5973.24,1,16630,IN,1972,48,M,M,0,1,4,0,4,1,4
2435.0782,1,17957,IN,1970,50,S,F,0,1,0,3,1,4,2
5962.34,1,27641,IN,1962,58,S,F,1,1,4,5,4,2,3
3578.27,1,27673,IN,1953,67,S,F,3,1,2,5,2,3,4
13195.64,1,12124,IN,1957,63,S,F,2,1,3,3,4,2,3
5918.24,1,13546,IN,1970,50,M,M,0,1,0,2,1,4,2
6070.59,1,16743,IN,1942,78,M,F,2,1,2,0,1,4,4
4167.23,1,22041,IN,1973,47,S,F,0,0,1,1,2,2,1
5997.33,1,28066,IN,1969,51,M,M,2,1,0,5,3,3,3
13294.27,1,12132,IN,1955,65,M,F,3,1,4,3,4,2,3
5908.25,1,16661,IN,1956,64,S,M,2,1,2,0,2,1,1
3578.27,1,28018,IN,1945,75,S,F,2,1,3,5,1,0,1
8168.01,1,11055,IN,1952,68,M,M,2,1,2,0,1,2,1
4355.71,1,16662,IN,1957,63,S,F,2,0,2,0,2,1,3
6099.1,1,16740,IN,1940,80,M,M,2,0,2,0,1,4,4
1854.5782,1,25270,IN,1943,77,M,F,2,0,2,0,1,4,4
6478.6,1,11031,IN,1947,73,M,F,4,1,2,0,0,1,1
6491.32,1,11034,IN,1947,73,M,F,4,1,2,0,0,1,1
5908.25,1,13548,IN,1970,50,M,F,0,1,0,2,1,4,2
6056.61,1,16741,IN,1940,80,M,M,2,0,2,0,1,4,4
5985.31,1,28038,IN,1948,72,M,M,2,1,2,5,2,2,3
5873.26,1,16659,IN,1955,65,S,F,2,1,2,0,3,1,1
4157.73,1,16686,IN,1962,58,M,F,1,1,1,0,2,4,3
4347.76,1,17047,IN,1969,51,M,F,1,1,0,0,3,3,4
3142.4482,1,20048,IN,1972,48,S,F,0,0,1,4,1,1,0
1882.5682,1,25294,IN,1971,49,S,F,0,1,4,0,4,0,4
5997.33,1,28065,IN,1966,54,S,F,5,0,0,5,2,3,3
6582.33,1,11047,IN,1950,70,M,F,3,0,2,0,1,1,1
8223.02,1,11054,IN,1952,68,M,F,2,1,2,0,1,2,1
8460.25,1,13600,IN,1951,69,M,F,4,0,4,4,4,2,3
1503.5782,1,14565,IN,1969,51,S,F,2,1,0,5,1,4,1
4385.03,1,16675,IN,1959,61,S,F,0,0,3,0,4,3,4
6070.59,1,16687,IN,1961,59,S,M,1,0,1,0,2,2,1
4417.75,1,16712,IN,1956,64,S,F,1,0,1,0,2,2,1
6060.5,1,17051,IN,1968,52,M,F,2,1,1,0,2,4,3
5908.25,1,16639,IN,1971,49,S,F,0,1,4,0,4,0,3
4506.76,1,16696,IN,1965,55,S,F,0,0,1,0,2,4,3
3578.27,1,27726,IN,1980,40,S,F,0,0,2,5,1,1,1
3578.27,1,28014,IN,1944,76,S,F,5,0,2,5,1,0,2
6471.32,1,11030,IN,1947,73,M,F,2,1,2,0,0,0,2
8376.28,1,13602,IN,1950,70,M,F,4,1,2,4,4,2,4
5913.24,1,13661,IN,1975,45,M,M,1,1,0,4,1,4,1
3150.3982,1,20049,IN,1971,49,S,F,0,0,2,4,0,0,0
6451.31,1,11035,IN,1948,72,M,F,2,1,2,0,0,0,2
6616.81,1,11046,IN,1950,70,M,F,3,1,2,0,1,1,1
5873.26,1,16658,IN,1955,65,S,F,2,1,2,0,3,1,1
6021.82,1,28068,IN,1969,51,S,F,3,0,0,5,3,3,3
6437.33,1,11038,IN,1948,72,M,F,2,1,2,0,0,0,2
6636.58,1,11039,IN,1948,72,M,M,3,1,2,0,1,2,2
4183.23,1,16685,IN,1962,58,S,F,1,1,1,0,2,4,3
6021.62,1,16745,IN,1942,78,S,F,2,0,1,0,2,3,4
6047.32,1,28031,IN,1947,73,S,F,2,0,1,5,2,4,4
5997.33,1,28076,IN,1967,53,S,M,0,0,2,5,4,3,4
5900.55,1,16657,IN,1955,65,M,M,2,0,2,0,3,1,1
4158.24,1,16684,IN,1962,58,M,M,1,1,1,0,2,4,3
3578.27,1,28040,IN,1949,71,M,M,2,0,2,5,2,2,3
5997.33,1,28067,IN,1969,51,M,F,3,1,0,5,3,3,3
5971.33,1,28071,IN,1968,52,M,M,0,0,1,5,3,4,4
6528.18,1,13540,IN,1960,60,M,F,3,1,0,2,1,3,2
5873.26,1,13687,IN,1973,47,M,M,1,1,1,4,1,4,1
6090.59,1,16703,IN,1962,58,M,F,1,1,1,0,2,2,1
4163.24,1,21939,IN,1959,61,M,M,2,1,1,1,2,3,3
3578.27,1,28039,IN,1948,72,S,M,2,0,0,5,2,4,4
6026.31,1,28063,IN,1966,54,M,F,4,1,0,5,2,3,3
6498.24,1,11048,IN,1950,70,M,M,3,1,2,0,1,1,1
1476.5382,1,14576,IN,1968,52,S,F,2,0,0,5,2,4,1
4377.75,1,16664,IN,1958,62,M,F,0,1,1,0,4,3,4
1854.5782,1,25271,IN,1943,77,S,M,2,0,2,0,1,4,4
5971.33,1,28030,IN,1947,73,S,M,2,0,1,5,2,4,4
5948.24,1,13515,IN,1942,78,M,F,1,1,0,2,0,2,0
5908.25,1,13545,IN,1970,50,M,M,0,1,0,2,1,4,2
3578.27,1,28017,IN,1945,75,S,M,5,0,3,5,1,0,2
5997.33,1,28070,IN,1968,52,S,M,0,1,1,5,3,4,4
7175.75,1,11244,IN,1957,63,S,F,2,0,3,4,4,4,4
5974.23,1,16638,IN,1971,49,M,M,0,1,4,0,4,0,3
5898.26,1,16660,IN,1956,64,S,M,2,0,2,0,2,1,1
5819.05,1,25872,IN,1947,73,S,F,2,0,1,5,2,4,4
3578.27,1,28042,IN,1949,71,S,M,2,0,0,5,2,4,4
5962.34,1,28083,IN,1968,52,M,F,2,1,3,5,4,3,4
4733.75,1,16929,IN,1946,74,M,F,2,0,2,0,1,2,2
6495.29,1,11033,IN,1947,73,M,M,4,1,2,0,0,1,1
4118.26,1,21813,IN,1952,68,M,M,2,0,2,1,2,1,3
3578.27,1,27681,IN,1951,69,M,F,4,0,2,5,1,2,3
5997.33,1,27920,IN,1972,48,S,F,0,1,2,5,2,2,1
3578.27,1,28022,IN,1946,74,S,M,5,1,3,5,1,1,3
3578.27,1,28047,IN,1950,70,S,M,2,0,2,5,2,2,3
3016.0682,1,14572,IN,1971,49,M,F,3,1,0,5,2,3,3
6070.59,1,16744,IN,1942,78,M,F,2,1,2,0,1,4,4
4245.2182,1,19325,IN,1967,53,M,F,0,1,0,2,1,4,2
1277.5582,1,25555,IN,1980,40,M,F,0,0,1,0,0,2,0
699.0982,1,26629,IN,1960,60,M,F,1,1,1,1,2,2,1
5998.61,1,27918,IN,1972,48,M,F,0,1,2,5,2,2,1
3578.27,1,28044,IN,1949,71,S,M,2,0,0,5,2,4,4
6006.32,1,28061,IN,1966,54,S,M,4,0,0,5,2,3,3
8131.32,1,11052,IN,1951,69,S,F,2,0,2,0,1,2,2
5973.24,1,13514,IN,1942,78,S,F,3,1,1,2,0,2,0
5948.24,1,13680,IN,1974,46,M,F,1,1,0,4,1,4,1
4698.76,1,16928,IN,1946,74,S,M,2,1,2,0,1,2,2
3578.27,1,27678,IN,1951,69,S,M,3,0,2,5,1,2,3
3578.27,1,27759,IN,1965,55,S,F,3,0,3,5,1,4,1
6525.56,1,11032,IN,1947,73,M,F,4,1,2,0,0,1,1
7131.51,1,11247,IN,1956,64,S,F,3,0,3,4,4,2,3
7171.58,1,13693,IN,1971,49,S,M,0,0,2,4,0,0,0
4426.74,1,16701,IN,1963,57,S,F,0,0,2,0,2,4,3
4767.73,1,16931,IN,1947,73,S,M,3,1,2,0,1,2,2
4629.07,1,25876,IN,1948,72,M,M,2,1,1,5,2,2,3
3578.27,1,27917,IN,1973,47,S,F,0,1,1,5,2,2,1
6011.31,1,28078,IN,1963,57,S,M,4,1,0,5,3,4,4
4471.74,1,16663,IN,1957,63,S,F,2,0,2,0,2,1,3
4406.74,1,16708,IN,1958,62,S,F,2,0,1,0,3,4,4
4480.73,1,17045,IN,1969,51,S,M,1,1,0,0,3,3,4
5765.92,1,19830,IN,1962,58,S,F,1,1,1,1,2,4,3
4141.23,1,22008,IN,1975,45,S,F,0,0,1,1,1,1,1
5007.3,1,11050,IN,1951,69,M,M,3,1,2,0,1,1,1
4382.75,1,17048,IN,1969,51,S,F,1,1,0,0,3,3,4
4142.75,1,21921,IN,1961,59,M,M,1,1,1,1,2,2,1
7164.25,1,11243,IN,1957,63,M,F,2,1,3,4,4,2,3
13265.99,1,12131,IN,1955,65,M,M,2,0,2,3,3,1,3
5898.26,1,13689,IN,1973,47,S,F,0,0,0,4,1,3,1
6060.5,1,16693,IN,1960,60,M,M,1,1,1,0,2,2,1
6021.62,1,16702,IN,1962,58,M,F,1,1,1,0,2,2,1
4377.75,1,16707,IN,1958,62,S,M,2,1,1,0,3,4,3
4467.74,1,17046,IN,1969,51,M,M,1,1,0,0,3,3,4
1873.5782,1,25272,IN,1943,77,S,M,2,0,1,0,2,3,4
5798.04,1,25868,IN,1946,74,M,F,5,1,3,5,2,4,4
8088.04,1,11057,IN,1953,67,M,M,2,1,2,0,2,3,4
6044.59,1,16742,IN,1940,80,M,M,2,0,2,0,1,4,4
2435.0782,1,17971,IN,1968,52,S,F,2,1,1,3,0,1,0
5933.25,1,13678,IN,1974,46,M,M,1,1,0,4,1,4,1
5933.26,1,13679,IN,1974,46,M,F,1,1,0,4,1,4,1
7162.08,1,13690,IN,1972,48,S,F,0,0,2,4,0,0,0
6090.59,1,16713,IN,1953,67,M,M,2,1,1,0,1,4,4
4649.83,1,25878,IN,1948,72,S,F,2,0,0,5,2,4,4
5962.34,1,28064,IN,1966,54,S,F,5,1,0,5,2,3,3
4555.47,1,28394,IN,1966,54,M,F,0,0,0,3,1,4,3
5908.25,1,13538,IN,1959,61,S,F,2,1,1,2,0,2,0
4496.23,1,17050,IN,1970,50,M,F,4,1,1,0,3,3,4
5976.74,1,13691,IN,1972,48,S,F,2,1,0,4,1,2,2
5900.55,1,16637,IN,1971,49,M,M,0,1,4,0,4,1,4
8207.5,1,11056,IN,1953,67,M,F,3,1,2,0,1,2,1
5943.24,1,13542,IN,1958,62,M,F,1,1,0,2,1,4,2
5923.23,1,13543,IN,1958,62,S,M,1,1,0,2,1,4,2
6508.71,1,13559,IN,1969,51,S,F,0,1,0,2,1,3,1
1505.8582,1,14577,IN,1968,52,S,F,2,1,0,5,2,4,1
6081.1,1,16688,IN,1961,59,S,F,1,0,1,0,2,2,1
2459.0682,1,19329,IN,1965,55,S,F,2,1,0,2,0,1,0
1898.0682,1,25273,IN,1943,77,M,M,2,0,1,0,2,3,4
7586.23,1,11240,IN,1958,62,M,F,2,1,4,4,4,2,3
4347.76,1,17049,IN,1969,51,M,F,1,0,0,0,3,3,4
4160.53,1,22050,IN,1968,52,S,M,4,1,1,1,3,4,4
5784.06,1,25867,IN,1946,74,S,M,5,1,3,5,2,4,4
6016.33,1,27919,IN,1972,48,S,M,0,1,2,5,2,2,1
3578.27,1,28041,IN,1949,71,S,F,2,0,2,5,2,2,3
5962.34,1,28062,IN,1966,54,S,M,4,1,0,5,2,3,3
6515.3,1,11044,IN,1949,71,M,M,2,1,2,0,0,0,2
6536.69,1,13541,IN,1960,60,M,F,3,1,0,2,1,3,2
5930.23,1,16656,IN,1955,65,M,M,2,0,2,0,3,1,1
4471.74,1,16691,IN,1966,54,S,F,0,0,2,0,4,3,4
4533.45,1,19829,IN,1963,57,S,M,3,0,0,1,2,3,3
4554.46,1,28395,IN,1966,54,S,M,0,0,0,3,1,4,3
5940.54,1,13821,IN,1963,57,M,M,1,1,0,4,1,4,1
4387.74,1,17328,IN,1963,57,S,F,0,0,2,0,2,4,3
4183.23,1,22114,IN,1953,67,M,M,3,1,2,1,2,3,4
5997.33,1,28156,IN,1968,52,S,F,0,0,1,5,2,4,3
5968.25,1,12221,IN,1961,59,M,F,1,1,0,3,0,3,2
5945.23,1,13572,IN,1968,52,S,M,3,1,0,2,0,1,0
7152.09,1,13765,IN,1968,52,M,M,1,1,0,4,1,4,2
7216.08,1,13792,IN,1965,55,S,M,2,1,2,4,0,1,0
4417.75,1,17071,IN,1965,55,S,F,0,1,1,0,2,4,3
6030.61,1,17309,IN,1962,58,S,F,1,1,1,0,2,4,3
6029.57,1,17310,IN,1961,59,M,M,1,1,1,0,2,2,1
4391.74,1,17320,IN,1964,56,S,M,0,0,1,0,2,4,3
4118.26,1,22058,IN,1978,42,S,M,0,0,2,1,1,1,1
3578.27,1,28145,IN,1974,46,S,M,0,0,2,5,2,2,3
4387.23,1,17242,IN,1973,47,M,M,0,1,3,0,4,2,4
6030.61,1,17315,IN,1960,60,M,F,1,1,1,0,2,2,1
1307.0582,1,25558,IN,1980,40,S,M,0,1,1,0,0,2,0
3578.27,1,28172,IN,1961,59,M,M,1,1,1,5,2,2,1
8154.02,1,11334,IN,1961,59,M,F,1,1,0,4,0,4,0
4347.76,1,17055,IN,1969,51,S,M,1,1,1,0,4,3,4
4673.31,1,25887,IN,1950,70,M,M,2,1,2,5,2,2,3
6011.31,1,28131,IN,1973,47,S,M,0,0,2,5,2,2,3
3578.27,1,28168,IN,1961,59,M,F,1,1,1,5,2,2,1
3578.27,1,28181,IN,1960,60,M,F,1,1,1,5,2,2,1
5935.55,1,13567,IN,1951,69,M,F,4,0,2,2,0,1,0
3578.27,1,28182,IN,1960,60,M,M,1,1,1,5,2,2,1
3578.27,1,28186,IN,1960,60,M,F,1,1,1,5,2,2,1
5928.25,1,13772,IN,1968,52,M,F,0,1,0,4,1,4,2
1563.0482,1,14581,IN,1967,53,S,M,0,0,1,5,1,4,3
4417.75,1,17065,IN,1966,54,M,M,0,1,0,0,3,3,4
6021.62,1,17308,IN,1962,58,M,F,1,1,1,0,2,4,3
3578.27,1,28088,IN,1979,41,M,M,0,1,1,5,1,2,1
3578.27,1,28185,IN,1960,60,M,M,1,1,1,5,2,2,1
6016.33,1,28193,IN,1959,61,S,F,5,1,3,5,2,3,3
5908.25,1,12211,IN,1974,46,M,M,0,1,0,3,0,3,0
3040.0382,1,14584,IN,1970,50,S,F,2,1,0,5,3,3,3
3578.27,1,28112,IN,1980,40,M,F,0,1,2,5,1,2,1
3578.27,1,28179,IN,1967,53,S,M,0,0,1,5,2,2,1
3578.27,1,28183,IN,1960,60,M,F,1,1,1,5,2,2,1
7138.1,1,13784,IN,1966,54,S,M,2,1,0,4,0,1,0
4471.74,1,17229,IN,1976,44,S,F,0,0,2,0,2,4,3
4380.04,1,17246,IN,1971,49,S,M,0,1,3,0,3,4,3
8248.02,1,11058,IN,1954,66,M,M,2,1,2,0,3,2,1
8162.0,1,11337,IN,1961,59,M,M,1,1,0,4,0,4,0
5950.23,1,12220,IN,1961,59,M,F,1,1,0,3,0,4,0
4355.71,1,17294,IN,1966,54,M,F,0,1,0,0,3,4,3
4382.75,1,17299,IN,1965,55,S,F,0,1,1,0,2,4,3
4623.82,1,25888,IN,1950,70,M,F,2,1,2,5,2,2,3
3578.27,1,28097,IN,1978,42,S,F,0,1,2,5,2,2,1
4432.72,1,17247,IN,1971,49,M,M,0,1,3,0,3,4,3
6089.59,1,17280,IN,1968,52,M,F,2,1,1,0,2,4,3
5997.33,1,28158,IN,1962,58,S,M,1,1,1,5,2,4,3
4426.74,1,17069,IN,1968,52,S,F,0,0,1,0,2,4,3
4651.11,1,25889,IN,1950,70,M,M,2,0,1,5,2,2,3
8129.02,1,11061,IN,1954,66,M,M,2,1,2,0,3,2,1
4382.75,1,17248,IN,1972,48,M,F,0,1,4,0,4,0,3
3214.0282,1,20052,IN,1972,48,S,M,2,1,0,4,1,2,2
3338.0382,1,20054,IN,1972,48,S,M,2,1,0,4,1,2,2
5948.23,1,13570,IN,1968,52,S,M,2,1,1,2,0,1,0
4506.76,1,17064,IN,1966,54,M,F,0,1,0,0,3,4,3
4426.74,1,17249,IN,1972,48,M,M,0,1,4,0,4,0,3
4392.74,1,17295,IN,1966,54,M,M,0,1,0,0,3,4,3
3578.27,1,28164,IN,1962,58,M,F,1,1,1,5,2,2,1
4404.73,1,17259,IN,1971,49,M,F,0,1,4,0,4,0,4
4471.74,1,17312,IN,1966,54,S,F,0,0,2,0,4,3,4
3578.27,1,28096,IN,1978,42,M,F,0,1,2,5,2,2,1
3578.27,1,28150,IN,1964,56,S,M,4,0,2,5,2,4,1
5968.23,1,12254,IN,1943,77,S,M,1,1,0,3,0,2,0
1468.5882,1,14580,IN,1967,53,S,M,0,0,1,5,1,4,3
6093.2,1,17285,IN,1968,52,M,M,2,1,1,0,2,4,3
3578.27,1,28149,IN,1964,56,M,M,4,1,2,5,2,4,1
5978.61,1,28159,IN,1962,58,M,F,1,1,1,5,2,4,3
7116.25,1,11250,IN,1955,65,M,F,3,1,2,4,4,1,3
4480.73,1,17257,IN,1970,50,M,M,5,0,4,0,4,1,4
4658.82,1,25879,IN,1948,72,S,F,2,1,0,5,2,4,4
3578.27,1,28162,IN,1962,58,M,M,1,1,1,5,2,2,1
5955.23,1,13783,IN,1967,53,M,M,0,1,0,4,1,4,2
4480.73,1,17332,IN,1958,62,S,M,2,1,1,0,3,4,3
6117.69,1,17351,IN,1941,79,M,M,2,1,2,0,1,4,4
